stop_nr,tour_nr,send_nr,lfd,ort,etappe_km,standzeit_min,ankunft,abfahrt
308,76,308,5,Leipzig,8.4,39,2025-05-02 12:10:00,2025-05-02 12:49:00
309,76,309,6,Hamburg,10.0,8,2025-05-02 13:05:00,2025-05-02 13:13:00
310,77,310,1,Stuttgart,37.8,4,2025-01-19 08:18:00,2025-01-19 08:22:00
311,77,311,2,Stuttgart,24.6,27,2025-01-19 10:00:00,2025-01-19 10:27:00
312,77,312,3,München,14.6,27,2025-01-19 11:40:00,2025-01-19 12:07:00
313,78,313,1,Köln,30.7,29,2025-03-09 09:20:00,2025-03-09 09:49:00
314,78,314,2,Leipzig,22.6,24,2025-03-09 09:28:00,2025-03-09 09:52:00
315,78,315,3,Leipzig,43.8,19,2025-03-09 11:40:00,2025-03-09 11:59:00
316,78,316,4,Berlin,21.2,9,2025-03-09 11:25:00,2025-03-09 11:34:00
317,78,317,5,Stuttgart,28.9,6,2025-03-09 12:05:00,2025-03-09 12:11:00
318,79,318,1,Berlin,50.8,35,2025-02-07 08:58:00,2025-02-07 09:33:00
319,79,319,2,Stuttgart,33.6,36,2025-02-07 09:18:00,2025-02-07 09:54:00
320,79,320,3,Leipzig,40.7,4,2025-02-07 11:40:00,2025-02-07 11:44:00
321,80,321,1,Stuttgart,22.8,35,2025-03-02 07:45:00,2025-03-02 08:20:00
322,80,322,2,Leipzig,33.9,35,2025-03-02 09:28:00,2025-03-02 10:03:00
323,80,323,3,Frankfurt,24.0,13,2025-03-02 10:25:00,2025-03-02 10:38:00
324,80,324,4,Frankfurt,40.1,24,2025-03-02 11:20:00,2025-03-02 11:44:00
325,81,325,1,Berlin,14.2,11,2025-03-15 08:10:00,2025-03-15 08:21:00
326,81,326,2,Köln,14.3,17,2025-03-15 09:05:00,2025-03-15 09:22:00
327,82,327,1,Berlin,46.6,15,2025-04-13 08:18:00,2025-04-13 08:33:00
328,82,328,2,München,34.2,34,2025-04-13 08:45:00,2025-04-13 09:19:00
329,82,329,3,Berlin,25.3,17,2025-04-13 09:45:00,2025-04-13 10:02:00
330,82,330,4,Köln,46.9,18,2025-04-13 11:10:00,2025-04-13 11:28:00
331,83,331,1,Hamburg,37.6,8,2025-02-08 09:00:00,2025-02-08 09:08:00
332,83,332,2,Leipzig,10.6,25,2025-02-08 10:50:00,2025-02-08 11:15:00
333,83,333,3,Köln,12.6,3,2025-02-08 11:30:00,2025-02-08 11:33:00
334,83,334,4,Köln,24.7,7,2025-02-08 11:05:00,2025-02-08 11:12:00
335,83,335,5,Köln,44.6,5,2025-02-08 12:00:00,2025-02-08 12:05:00
336,83,336,6,Frankfurt,35.1,29,2025-02-08 14:30:00,2025-02-08 14:59:00
337,84,337,1,München,49.5,29,2025-04-22 08:00:00,2025-04-22 08:29:00
338,84,338,2,Köln,18.0,4,2025-04-22 09:25:00,2025-04-22 09:29:00
339,84,339,3,Hamburg,40.7,23,2025-04-22 10:40:00,2025-04-22 11:03:00
340,84,340,4,Köln,41.6,12,2025-04-22 11:50:00,2025-04-22 12:02:00
341,84,341,5,Stuttgart,5.9,24,2025-04-22 12:58:00,2025-04-22 13:22:00
342,84,342,6,Köln,40.4,13,2025-04-22 14:50:00,2025-04-22 15:03:00
343,85,343,1,Frankfurt,36.5,17,2025-02-17 08:40:00,2025-02-17 08:57:00
344,85,344,2,Frankfurt,46.1,12,2025-02-17 09:58:00,2025-02-17 10:10:00
345,85,345,3,Hamburg,9.9,7,2025-02-17 10:25:00,2025-02-17 10:32:00
346,86,346,1,Leipzig,21.3,8,2025-01-22 09:30:00,2025-01-22 09:38:00
347,86,347,2,München,15.3,10,2025-01-22 10:30:00,2025-01-22 10:40:00
348,86,348,3,München,47.4,39,2025-01-22 09:45:00,2025-01-22 10:24:00
349,86,349,4,München,21.9,26,2025-01-22 11:25:00,2025-01-22 11:51:00
350,86,350,5,Hamburg,48.8,23,2025-01-22 13:40:00,2025-01-22 14:03:00
351,87,351,1,Stuttgart,21.3,31,2025-03-10 08:40:00,2025-03-10 09:11:00
352,87,352,2,Frankfurt,48.5,30,2025-03-10 09:38:00,2025-03-10 10:08:00
353,87,353,3,Hamburg,7.2,26,2025-03-10 11:30:00,2025-03-10 11:56:00
354,87,354,4,Berlin,13.9,21,2025-03-10 11:40:00,2025-03-10 12:01:00
355,88,355,1,München,41.3,8,2025-01-21 08:50:00,2025-01-21 08:58:00
356,88,356,2,Stuttgart,50.4,18,2025-01-21 08:55:00,2025-01-21 09:13:00
357,88,357,3,Köln,33.5,22,2025-01-21 12:10:00,2025-01-21 12:32:00
358,88,358,4,Hamburg,19.8,3,2025-01-21 12:30:00,2025-01-21 12:33:00
359,88,359,5,Stuttgart,34.7,17,2025-01-21 13:20:00,2025-01-21 13:37:00
360,88,360,6,München,32.8,20,2025-01-21 13:15:00,2025-01-21 13:35:00
361,89,361,1,Berlin,32.3,5,2025-02-21 08:05:00,2025-02-21 08:10:00
362,89,362,2,Hamburg,8.0,7,2025-02-21 09:00:00,2025-02-21 09:07:00
363,89,363,3,Köln,26.7,25,2025-02-21 10:18:00,2025-02-21 10:43:00
364,89,364,4,München,27.3,10,2025-02-21 11:05:00,2025-02-21 11:15:00
365,89,365,5,München,22.9,32,2025-02-21 11:45:00,2025-02-21 12:17:00
366,90,366,1,Hamburg,40.7,27,2025-04-14 08:10:00,2025-04-14 08:37:00
367,90,367,2,Hamburg,17.7,24,2025-04-14 09:05:00,2025-04-14 09:29:00
368,90,368,3,Leipzig,42.7,15,2025-04-14 12:10:00,2025-04-14 12:25:00
369,90,369,4,Leipzig,22.8,13,2025-04-14 10:45:00,2025-04-14 10:58:00
370,90,370,5,Frankfurt,10.9,33,2025-04-14 12:45:00,2025-04-14 13:18:00
371,91,371,1,Frankfurt,50.1,29,2025-03-23 07:45:00,2025-03-23 08:14:00
372,91,372,2,Hamburg,16.3,22,2025-03-23 09:25:00,2025-03-23 09:47:00
373,92,373,1,München,6.1,22,2025-01-24 09:50:00,2025-01-24 10:12:00
374,92,374,2,München,17.1,30,2025-01-24 09:45:00,2025-01-24 10:15:00
375,92,375,3,Hamburg,27.2,15,2025-01-24 10:40:00,2025-01-24 10:55:00
376,92,376,4,Stuttgart,18.0,11,2025-01-24 11:25:00,2025-01-24 11:36:00
377,93,377,1,München,8.8,31,2025-01-28 09:20:00,2025-01-28 09:51:00
378,93,378,2,Leipzig,10.1,20,2025-01-28 10:30:00,2025-01-28 10:50:00
379,93,379,3,München,25.4,9,2025-01-28 10:28:00,2025-01-28 10:37:00
380,94,380,1,Frankfurt,51.7,4,2025-05-08 07:45:00,2025-05-08 07:49:00
381,94,381,2,Frankfurt,8.2,10,2025-05-08 10:00:00,2025-05-08 10:10:00
382,94,382,3,Stuttgart,49.0,19,2025-05-08 10:50:00,2025-05-08 11:09:00
383,94,383,4,Frankfurt,27.6,17,2025-05-08 11:58:00,2025-05-08 12:15:00
384,94,384,5,München,51.8,27,2025-05-08 13:20:00,2025-05-08 13:47:00
385,94,385,6,Stuttgart,47.7,32,2025-05-08 14:40:00,2025-05-08 15:12:00
386,95,386,1,Frankfurt,40.5,39,2025-04-19 08:50:00,2025-04-19 09:29:00
387,95,387,2,Berlin,46.6,20,2025-04-19 09:28:00,2025-04-19 09:48:00
388,96,388,1,Frankfurt,5.2,13,2025-04-11 07:45:00,2025-04-11 07:58:00
389,96,389,2,Hamburg,48.5,23,2025-04-11 10:00:00,2025-04-11 10:23:00
390,97,390,1,Stuttgart,34.9,26,2025-03-25 08:38:00,2025-03-25 09:04:00
391,97,391,2,Berlin,30.3,27,2025-03-25 10:50:00,2025-03-25 11:17:00
392,97,392,3,München,36.3,30,2025-03-25 10:18:00,2025-03-25 10:48:00
393,97,393,4,Stuttgart,51.4,24,2025-03-25 11:00:00,2025-03-25 11:24:00
394,98,394,1,München,26.9,34,2025-03-30 09:00:00,2025-03-30 09:34:00
395,98,395,2,München,4.9,4,2025-03-30 08:55:00,2025-03-30 08:59:00
396,98,396,3,Hamburg,9.5,23,2025-03-30 11:30:00,2025-03-30 11:53:00
397,98,397,4,Berlin,51.2,27,2025-03-30 11:10:00,2025-03-30 11:37:00
398,98,398,5,Berlin,30.7,35,2025-03-30 12:00:00,2025-03-30 12:35:00
399,98,399,6,Köln,52.4,21,2025-03-30 13:10:00,2025-03-30 13:31:00
400,99,400,1,Stuttgart,34.5,29,2025-03-05 08:18:00,2025-03-05 08:47:00
401,99,401,2,Frankfurt,6.2,11,2025-03-05 09:40:00,2025-03-05 09:51:00
402,99,402,3,Frankfurt,6.8,9,2025-03-05 10:05:00,2025-03-05 10:14:00
403,99,403,4,Stuttgart,44.9,27,2025-03-05 11:25:00,2025-03-05 11:52:00
404,100,404,1,Leipzig,52.7,25,2025-05-08 08:20:00,2025-05-08 08:45:00
405,100,405,2,Hamburg,33.6,35,2025-05-08 10:20:00,2025-05-08 10:55:00
406,100,406,3,Leipzig,18.1,36,2025-05-08 10:05:00,2025-05-08 10:41:00
407,100,407,4,München,25.5,29,2025-05-08 11:05:00,2025-05-08 11:34:00
408,101,408,1,Köln,14.3,25,2025-01-18 08:20:00,2025-01-18 08:45:00
409,101,409,2,München,48.8,7,2025-01-18 09:05:00,2025-01-18 09:12:00
410,101,410,3,Leipzig,41.5,17,2025-01-18 10:05:00,2025-01-18 10:22:00
411,102,411,1,München,23.2,26,2025-01-29 08:38:00,2025-01-29 09:04:00
412,102,412,2,Köln,10.5,35,2025-01-29 09:28:00,2025-01-29 10:03:00
413,102,413,3,Stuttgart,4.9,27,2025-01-29 11:30:00,2025-01-29 11:57:00
414,103,414,1,Stuttgart,19.4,19,2025-03-23 08:00:00,2025-03-23 08:19:00
415,103,415,2,Frankfurt,9.9,14,2025-03-23 10:20:00,2025-03-23 10:34:00
416,104,416,1,Leipzig,43.2,28,2025-03-16 08:20:00,2025-03-16 08:48:00
417,104,417,2,Hamburg,13.4,9,2025-03-16 10:40:00,2025-03-16 10:49:00
418,104,418,3,Stuttgart,3.6,7,2025-03-16 10:28:00,2025-03-16 10:35:00
419,104,419,4,Stuttgart,20.3,32,2025-03-16 11:25:00,2025-03-16 11:57:00
420,104,420,5,München,26.1,21,2025-03-16 12:58:00,2025-03-16 13:19:00
421,104,421,6,Hamburg,18.6,10,2025-03-16 13:15:00,2025-03-16 13:25:00
422,105,422,1,Leipzig,37.4,7,2025-01-31 09:30:00,2025-01-31 09:37:00
423,105,423,2,Frankfurt,3.4,28,2025-01-31 09:45:00,2025-01-31 10:13:00
424,105,424,3,Leipzig,14.1,38,2025-01-31 11:30:00,2025-01-31 12:08:00
425,105,425,4,Leipzig,32.1,38,2025-01-31 12:30:00,2025-01-31 13:08:00
426,105,426,5,Frankfurt,5.0,28,2025-01-31 13:00:00,2025-01-31 13:28:00
427,106,427,1,Leipzig,24.7,39,2025-01-25 08:10:00,2025-01-25 08:49:00
428,106,428,2,Frankfurt,20.0,23,2025-01-25 09:18:00,2025-01-25 09:41:00
429,106,429,3,Leipzig,38.2,23,2025-01-25 10:25:00,2025-01-25 10:48:00
430,106,430,4,München,40.6,38,2025-01-25 11:05:00,2025-01-25 11:43:00
431,106,431,5,Stuttgart,29.0,36,2025-01-25 13:40:00,2025-01-25 14:16:00
432,107,432,1,Leipzig,38.7,5,2025-02-28 08:40:00,2025-02-28 08:45:00
433,107,433,2,Frankfurt,50.9,13,2025-02-28 09:40:00,2025-02-28 09:53:00
434,107,434,3,Stuttgart,12.0,37,2025-02-28 10:18:00,2025-02-28 10:55:00
435,107,435,4,Stuttgart,27.4,18,2025-02-28 11:28:00,2025-02-28 11:46:00
436,108,436,1,Köln,52.5,21,2025-01-18 08:38:00,2025-01-18 08:59:00
437,108,437,2,Leipzig,25.9,24,2025-01-18 10:00:00,2025-01-18 10:24:00
438,108,438,3,München,8.9,36,2025-01-18 10:05:00,2025-01-18 10:41:00
439,108,439,4,Stuttgart,14.6,37,2025-01-18 11:40:00,2025-01-18 12:17:00
440,109,440,1,Berlin,28.9,25,2025-02-27 07:55:00,2025-02-27 08:20:00
441,109,441,2,München,40.9,7,2025-02-27 08:45:00,2025-02-27 08:52:00
442,109,442,3,Hamburg,24.3,10,2025-02-27 10:25:00,2025-02-27 10:35:00
443,109,443,4,Berlin,46.7,29,2025-02-27 11:40:00,2025-02-27 12:09:00
444,110,444,1,Stuttgart,27.1,16,2025-04-04 09:50:00,2025-04-04 10:06:00
445,110,445,2,Berlin,37.6,22,2025-04-04 09:15:00,2025-04-04 09:37:00
446,110,446,3,Köln,51.3,24,2025-04-04 10:25:00,2025-04-04 10:49:00
447,110,447,4,Berlin,4.5,34,2025-04-04 11:45:00,2025-04-04 12:19:00
448,110,448,5,Köln,31.6,38,2025-04-04 13:00:00,2025-04-04 13:38:00
449,111,449,1,Stuttgart,7.4,33,2025-01-25 08:15:00,2025-01-25 08:48:00
450,111,450,2,Stuttgart,44.3,7,2025-01-25 11:10:00,2025-01-25 11:17:00
451,112,451,1,München,47.3,39,2025-04-12 08:20:00,2025-04-12 08:59:00
452,112,452,2,Köln,21.3,32,2025-04-12 09:50:00,2025-04-12 10:22:00
453,112,453,3,München,54.2,35,2025-04-12 11:40:00,2025-04-12 12:15:00
454,112,454,4,Berlin,45.7,9,2025-04-12 11:05:00,2025-04-12 11:14:00
455,113,455,1,Leipzig,54.3,19,2025-03-14 08:18:00,2025-03-14 08:37:00
456,113,456,2,Stuttgart,21.6,6,2025-03-14 09:00:00,2025-03-14 09:06:00
457,113,457,3,Berlin,16.4,30,2025-03-14 11:50:00,2025-03-14 12:20:00
458,113,458,4,Leipzig,40.2,6,2025-03-14 12:50:00,2025-03-14 12:56:00
459,114,459,1,Stuttgart,8.0,24,2025-02-01 08:05:00,2025-02-01 08:29:00
460,114,460,2,Frankfurt,45.1,38,2025-02-01 10:30:00,2025-02-01 11:08:00
461,114,461,3,Berlin,48.4,26,2025-02-01 10:40:00,2025-02-01 11:06:00
462,115,462,1,Berlin,6.1,14,2025-03-02 08:58:00,2025-03-02 09:12:00
463,115,463,2,Stuttgart,20.0,21,2025-03-02 09:10:00,2025-03-02 09:31:00
464,115,464,3,Köln,20.1,9,2025-03-02 10:40:00,2025-03-02 10:49:00
465,116,465,1,Frankfurt,45.4,17,2025-02-18 08:25:00,2025-02-18 08:42:00
466,116,466,2,Hamburg,50.7,21,2025-02-18 09:18:00,2025-02-18 09:39:00
467,116,467,3,Hamburg,53.9,26,2025-02-18 11:30:00,2025-02-18 11:56:00
468,116,468,4,Frankfurt,41.8,13,2025-02-18 11:05:00,2025-02-18 11:18:00
469,117,469,1,München,48.3,12,2025-02-13 07:45:00,2025-02-13 07:57:00
470,117,470,2,Frankfurt,28.2,21,2025-02-13 08:45:00,2025-02-13 09:06:00
471,117,471,3,Berlin,11.1,31,2025-02-13 10:28:00,2025-02-13 10:59:00
472,117,472,4,Frankfurt,18.5,39,2025-02-13 11:15:00,2025-02-13 11:54:00
473,117,473,5,Hamburg,38.5,7,2025-02-13 12:58:00,2025-02-13 13:05:00
474,117,474,6,Köln,24.0,37,2025-02-13 13:40:00,2025-02-13 14:17:00
475,118,475,1,Köln,20.6,22,2025-04-29 08:25:00,2025-04-29 08:47:00
476,118,476,2,Stuttgart,28.5,7,2025-04-29 10:30:00,2025-04-29 10:37:00
477,119,477,1,München,54.3,40,2025-04-14 08:45:00,2025-04-14 09:25:00
478,119,478,2,Leipzig,12.9,12,2025-04-14 10:20:00,2025-04-14 10:32:00
479,119,479,3,München,7.1,18,2025-04-14 10:05:00,2025-04-14 10:23:00
480,119,480,4,Hamburg,24.3,25,2025-04-14 11:50:00,2025-04-14 12:15:00
481,119,481,5,Köln,50.5,22,2025-04-14 13:00:00,2025-04-14 13:22:00
482,120,482,1,Köln,35.7,21,2025-05-05 09:30:00,2025-05-05 09:51:00
483,120,483,2,Köln,51.9,37,2025-05-05 09:15:00,2025-05-05 09:52:00
484,120,484,3,Hamburg,38.3,28,2025-05-05 11:40:00,2025-05-05 12:08:00
485,120,485,4,Leipzig,54.4,40,2025-05-05 13:10:00,2025-05-05 13:50:00
486,121,486,1,Leipzig,13.3,26,2025-03-10 08:00:00,2025-03-10 08:26:00
487,121,487,2,Leipzig,37.0,13,2025-03-10 08:45:00,2025-03-10 08:58:00
488,122,488,1,Hamburg,41.3,31,2025-03-18 09:30:00,2025-03-18 10:01:00
489,122,489,2,Leipzig,28.3,25,2025-03-18 10:00:00,2025-03-18 10:25:00
490,122,490,3,München,23.3,17,2025-03-18 10:00:00,2025-03-18 10:17:00
491,122,491,4,München,50.8,10,2025-03-18 10:55:00,2025-03-18 11:05:00
492,122,492,5,Stuttgart,43.1,40,2025-03-18 12:15:00,2025-03-18 12:55:00
493,123,493,1,Hamburg,50.0,40,2025-04-20 07:45:00,2025-04-20 08:25:00
494,123,494,2,Hamburg,33.0,7,2025-04-20 09:18:00,2025-04-20 09:25:00
495,123,495,3,München,8.2,19,2025-04-20 11:20:00,2025-04-20 11:39:00
496,123,496,4,Berlin,14.8,32,2025-04-20 10:45:00,2025-04-20 11:17:00
497,124,497,1,Stuttgart,24.6,35,2025-01-19 08:05:00,2025-01-19 08:40:00
498,124,498,2,Leipzig,46.3,28,2025-01-19 09:50:00,2025-01-19 10:18:00
499,124,499,3,Berlin,13.4,32,2025-01-19 10:38:00,2025-01-19 11:10:00
500,125,500,1,Köln,15.6,35,2025-02-26 08:40:00,2025-02-26 09:15:00
501,125,501,2,Frankfurt,46.5,32,2025-02-26 09:58:00,2025-02-26 10:30:00
502,125,502,3,Frankfurt,7.3,39,2025-02-26 09:55:00,2025-02-26 10:34:00
503,125,503,4,Hamburg,48.1,36,2025-02-26 12:40:00,2025-02-26 13:16:00
504,125,504,5,München,13.9,11,2025-02-26 12:05:00,2025-02-26 12:16:00
505,125,505,6,München,28.5,30,2025-02-26 13:10:00,2025-02-26 13:40:00
506,126,506,1,München,29.9,39,2025-01-12 09:20:00,2025-01-12 09:59:00
507,126,507,2,Leipzig,54.1,24,2025-01-12 09:40:00,2025-01-12 10:04:00
508,126,508,3,Leipzig,22.8,23,2025-01-12 10:00:00,2025-01-12 10:23:00
509,127,509,1,Leipzig,36.6,11,2025-02-15 08:25:00,2025-02-15 08:36:00
510,127,510,2,Stuttgart,27.5,26,2025-02-15 09:40:00,2025-02-15 10:06:00
511,127,511,3,Köln,32.0,33,2025-02-15 10:25:00,2025-02-15 10:58:00
512,127,512,4,München,46.6,14,2025-02-15 11:40:00,2025-02-15 11:54:00
513,128,513,1,Köln,32.4,32,2025-03-13 08:58:00,2025-03-13 09:30:00
514,128,514,2,Leipzig,34.3,10,2025-03-13 09:25:00,2025-03-13 09:35:00
515,128,515,3,Stuttgart,42.7,3,2025-03-13 10:05:00,2025-03-13 10:08:00
516,128,516,4,Frankfurt,31.6,31,2025-03-13 10:45:00,2025-03-13 11:16:00
517,128,517,5,Stuttgart,49.4,29,2025-03-13 12:50:00,2025-03-13 13:19:00
518,129,518,1,Frankfurt,48.3,22,2025-01-17 08:00:00,2025-01-17 08:22:00
519,129,519,2,Frankfurt,47.4,19,2025-01-17 10:30:00,2025-01-17 10:49:00
520,130,520,1,Köln,49.2,37,2025-04-02 08:15:00,2025-04-02 08:52:00
521,130,521,2,München,45.4,29,2025-04-02 09:25:00,2025-04-02 09:54:00
522,130,522,3,Hamburg,50.0,9,2025-04-02 11:40:00,2025-04-02 11:49:00
523,130,523,4,Leipzig,43.5,18,2025-04-02 12:40:00,2025-04-02 12:58:00
524,130,524,5,Berlin,17.3,36,2025-04-02 13:40:00,2025-04-02 14:16:00
525,130,525,6,München,50.5,29,2025-04-02 13:05:00,2025-04-02 13:34:00
526,131,526,1,Leipzig,7.1,28,2025-01-14 08:15:00,2025-01-14 08:43:00
527,131,527,2,Hamburg,34.3,39,2025-01-14 09:38:00,2025-01-14 10:17:00
528,131,528,3,Köln,37.1,16,2025-01-14 11:30:00,2025-01-14 11:46:00
529,132,529,1,Leipzig,5.6,40,2025-04-13 08:05:00,2025-04-13 08:45:00
530,132,530,2,Stuttgart,31.6,23,2025-04-13 10:00:00,2025-04-13 10:23:00
531,132,531,3,Hamburg,11.1,25,2025-04-13 10:05:00,2025-04-13 10:30:00
532,132,532,4,Köln,45.0,8,2025-04-13 12:50:00,2025-04-13 12:58:00
533,132,533,5,Berlin,19.9,19,2025-04-13 12:25:00,2025-04-13 12:44:00
534,132,534,6,Hamburg,50.6,18,2025-04-13 13:18:00,2025-04-13 13:36:00
535,133,535,1,Köln,25.7,12,2025-03-02 08:58:00,2025-03-02 09:10:00
536,133,536,2,Köln,35.0,12,2025-03-02 09:28:00,2025-03-02 09:40:00
537,133,537,3,Hamburg,38.9,23,2025-03-02 10:25:00,2025-03-02 10:48:00
538,133,538,4,Frankfurt,20.1,20,2025-03-02 11:50:00,2025-03-02 12:10:00
539,133,539,5,Stuttgart,44.6,27,2025-03-02 12:15:00,2025-03-02 12:42:00
540,133,540,6,Hamburg,45.6,11,2025-03-02 13:40:00,2025-03-02 13:51:00
541,134,541,1,München,34.6,11,2025-03-10 08:25:00,2025-03-10 08:36:00
542,134,542,2,Berlin,46.2,32,2025-03-10 10:40:00,2025-03-10 11:12:00
543,134,543,3,Leipzig,45.6,16,2025-03-10 11:40:00,2025-03-10 11:56:00
544,134,544,4,Leipzig,7.4,6,2025-03-10 12:40:00,2025-03-10 12:46:00
545,135,545,1,Hamburg,45.1,26,2025-02-28 08:58:00,2025-02-28 09:24:00
546,135,546,2,Hamburg,35.9,12,2025-02-28 09:25:00,2025-02-28 09:37:00
547,135,547,3,Berlin,9.9,26,2025-02-28 09:45:00,2025-02-28 10:11:00
548,136,548,1,Köln,3.5,32,2025-01-15 08:40:00,2025-01-15 09:12:00
549,136,549,2,München,12.9,9,2025-01-15 09:50:00,2025-01-15 09:59:00
550,136,550,3,München,34.5,28,2025-01-15 10:28:00,2025-01-15 10:56:00
551,136,551,4,Stuttgart,47.8,35,2025-01-15 11:10:00,2025-01-15 11:45:00
552,136,552,5,München,32.8,6,2025-01-15 12:18:00,2025-01-15 12:24:00
553,137,553,1,Köln,38.6,15,2025-04-14 08:45:00,2025-04-14 09:00:00
554,137,554,2,München,36.3,13,2025-04-14 09:25:00,2025-04-14 09:38:00
555,137,555,3,Stuttgart,28.4,9,2025-04-14 09:45:00,2025-04-14 09:54:00
556,137,556,4,Stuttgart,49.5,31,2025-04-14 10:45:00,2025-04-14 11:16:00
557,137,557,5,Berlin,30.0,6,2025-04-14 13:30:00,2025-04-14 13:36:00
558,138,558,1,Hamburg,19.7,16,2025-04-17 08:40:00,2025-04-17 08:56:00
559,138,559,2,München,20.1,18,2025-04-17 09:50:00,2025-04-17 10:08:00
560,139,560,1,München,25.4,19,2025-04-02 08:18:00,2025-04-02 08:37:00
561,139,561,2,Hamburg,5.1,25,2025-04-02 08:45:00,2025-04-02 09:10:00
562,139,562,3,Leipzig,3.1,9,2025-04-02 10:10:00,2025-04-02 10:19:00
563,139,563,4,Berlin,51.5,22,2025-04-02 11:15:00,2025-04-02 11:37:00
564,140,564,1,Frankfurt,22.8,37,2025-05-05 07:55:00,2025-05-05 08:32:00
565,140,565,2,Hamburg,21.5,11,2025-05-05 10:20:00,2025-05-05 10:31:00
566,140,566,3,Berlin,28.3,16,2025-05-05 11:30:00,2025-05-05 11:46:00
567,140,567,4,Hamburg,5.5,24,2025-05-05 11:25:00,2025-05-05 11:49:00
568,141,568,1,Frankfurt,23.9,4,2025-04-24 08:05:00,2025-04-24 08:09:00
569,141,569,2,Köln,41.7,19,2025-04-24 09:58:00,2025-04-24 10:17:00
570,142,570,1,München,45.4,19,2025-03-10 09:50:00,2025-03-10 10:09:00
571,142,571,2,Berlin,10.3,20,2025-03-10 09:28:00,2025-03-10 09:48:00
572,143,572,1,Frankfurt,28.9,33,2025-04-14 08:40:00,2025-04-14 09:13:00
573,143,573,2,München,29.0,30,2025-04-14 08:45:00,2025-04-14 09:15:00
574,143,574,3,Leipzig,35.5,25,2025-04-14 10:40:00,2025-04-14 11:05:00
575,143,575,4,Hamburg,37.8,24,2025-04-14 11:15:00,2025-04-14 11:39:00
576,143,576,5,München,53.3,18,2025-04-14 12:38:00,2025-04-14 12:56:00
577,144,577,1,Hamburg,20.6,5,2025-03-31 08:40:00,2025-03-31 08:45:00
578,144,578,2,Köln,18.8,40,2025-03-31 08:55:00,2025-03-31 09:35:00
579,144,579,3,Hamburg,13.9,18,2025-03-31 11:30:00,2025-03-31 11:48:00
580,144,580,4,Hamburg,17.0,21,2025-03-31 11:40:00,2025-03-31 12:01:00
581,145,581,1,Köln,7.4,27,2025-03-29 08:28:00,2025-03-29 08:55:00
582,145,582,2,Hamburg,9.6,29,2025-03-29 09:50:00,2025-03-29 10:19:00
583,145,583,3,Hamburg,51.5,30,2025-03-29 10:15:00,2025-03-29 10:45:00
584,146,584,1,Köln,51.9,22,2025-03-05 08:25:00,2025-03-05 08:47:00
585,146,585,2,Leipzig,36.9,35,2025-03-05 09:20:00,2025-03-05 09:55:00
586,146,586,3,Frankfurt,39.5,7,2025-03-05 10:05:00,2025-03-05 10:12:00
587,147,587,1,Stuttgart,37.9,8,2025-02-26 09:20:00,2025-02-26 09:28:00
588,147,588,2,München,53.3,26,2025-02-26 09:50:00,2025-02-26 10:16:00
589,148,589,1,Köln,17.5,28,2025-01-28 09:20:00,2025-01-28 09:48:00
590,148,590,2,Frankfurt,28.5,11,2025-01-28 09:15:00,2025-01-28 09:26:00
591,148,591,3,Berlin,50.0,39,2025-01-28 10:38:00,2025-01-28 11:17:00
592,148,592,4,Leipzig,46.8,10,2025-01-28 12:50:00,2025-01-28 13:00:00
593,149,593,1,Hamburg,51.7,25,2025-03-29 09:20:00,2025-03-29 09:45:00
594,149,594,2,München,21.0,39,2025-03-29 10:50:00,2025-03-29 11:29:00
595,149,595,3,Leipzig,19.1,39,2025-03-29 12:10:00,2025-03-29 12:49:00
596,149,596,4,Hamburg,17.7,22,2025-03-29 12:00:00,2025-03-29 12:22:00
597,150,597,1,Köln,8.1,40,2025-01-17 09:20:00,2025-01-17 10:00:00
598,150,598,2,Hamburg,34.6,35,2025-01-17 08:45:00,2025-01-17 09:20:00
599,151,599,1,München,45.4,15,2025-02-07 08:25:00,2025-02-07 08:40:00
600,151,600,2,Frankfurt,27.6,15,2025-02-07 09:28:00,2025-02-07 09:43:00
601,151,601,3,Stuttgart,22.0,17,2025-02-07 10:10:00,2025-02-07 10:27:00
602,151,602,4,Köln,23.4,29,2025-02-07 11:20:00,2025-02-07 11:49:00
603,151,603,5,Frankfurt,29.7,28,2025-02-07 13:30:00,2025-02-07 13:58:00
604,151,604,6,München,8.3,4,2025-02-07 14:40:00,2025-02-07 14:44:00
605,152,605,1,Hamburg,18.1,15,2025-01-23 09:50:00,2025-01-23 10:05:00
606,152,606,2,Frankfurt,45.6,15,2025-01-23 09:05:00,2025-01-23 09:20:00
607,152,607,3,Frankfurt,36.1,36,2025-01-23 10:50:00,2025-01-23 11:26:00
608,152,608,4,Berlin,40.9,4,2025-01-23 13:10:00,2025-01-23 13:14:00
609,153,609,1,Hamburg,46.9,16,2025-01-16 08:40:00,2025-01-16 08:56:00
610,153,610,2,Frankfurt,47.3,7,2025-01-16 09:40:00,2025-01-16 09:47:00
611,153,611,3,Frankfurt,14.8,7,2025-01-16 10:40:00,2025-01-16 10:47:00
612,153,612,4,Leipzig,54.8,3,2025-01-16 11:25:00,2025-01-16 11:28:00
613,153,613,5,Leipzig,34.3,39,2025-01-16 12:25:00,2025-01-16 13:04:00
614,154,614,1,Berlin,18.3,37,2025-05-04 08:10:00,2025-05-04 08:47:00
615,154,615,2,Stuttgart,47.0,30,2025-05-04 09:25:00,2025-05-04 09:55:00
