send_nr,tour_nr,nl_id,empf,soll_ts,ist_ts,versp_min,gew_kg,stat_txt
288,71,3,Empf 288,2025-01-27 12:40:00,2025-01-27 13:20:00,40,54.8,verspätet
289,72,5,Empf 289,2025-01-31 08:40:00,2025-01-31 08:25:00,-15,273.0,zugestellt
290,72,5,Empf 290,2025-01-31 09:10:00,,,455.5,unterwegs
291,73,6,Empf 291,2025-01-27 08:00:00,2025-01-27 07:45:00,-15,374.9,zugestellt
292,73,6,Empf 292,2025-01-27 09:00:00,2025-01-27 08:45:00,-15,304.7,zugestellt
293,73,6,Empf 293,2025-01-27 10:20:00,2025-01-27 10:05:00,-15,182.8,zugestellt
294,74,9,Empf 294,2025-03-13 08:10:00,2025-03-13 08:28:00,18,125.9,zugestellt
295,74,9,Empf 295,2025-03-13 09:00:00,2025-03-13 08:45:00,-15,212.8,zugestellt
296,74,9,Empf 296,2025-03-13 10:10:00,,,410.8,unterwegs
297,74,9,Empf 297,2025-03-13 11:00:00,2025-03-13 11:05:00,5,383.1,zugestellt
298,74,9,Empf 298,2025-03-13 12:20:00,2025-03-13 13:50:00,90,61.9,fehl
299,74,9,Empf 299,2025-03-13 13:40:00,2025-03-13 13:25:00,-15,52.3,zugestellt
300,75,4,Empf 300,2025-01-25 08:40:00,2025-01-25 10:10:00,90,238.4,unterwegs
301,75,4,Empf 301,2025-01-25 09:10:00,,,481.2,fehl
302,75,4,Empf 302,2025-01-25 10:10:00,2025-01-25 10:50:00,40,423.1,unterwegs
303,75,4,Empf 303,2025-01-25 11:00:00,2025-01-25 10:45:00,-15,163.4,zugestellt
304,76,9,Empf 304,2025-05-02 08:40:00,2025-05-02 09:20:00,40,179.9,verspätet
305,76,9,Empf 305,2025-05-02 09:20:00,2025-05-02 09:25:00,5,438.8,zugestellt
306,76,9,Empf 306,2025-05-02 10:20:00,2025-05-02 10:20:00,0,372.8,zugestellt
307,76,9,Empf 307,2025-05-02 11:40:00,2025-05-02 11:58:00,18,479.5,zugestellt
308,76,9,Empf 308,2025-05-02 12:10:00,2025-05-02 12:10:00,0,349.9,zugestellt
309,76,9,Empf 309,2025-05-02 13:20:00,2025-05-02 13:05:00,-15,76.9,zugestellt
310,77,8,Empf 310,2025-01-19 08:00:00,2025-01-19 08:18:00,18,415.5,zugestellt
311,77,8,Empf 311,2025-01-19 09:20:00,,,307.5,unterwegs
312,77,8,Empf 312,2025-01-19 10:10:00,2025-01-19 11:40:00,90,155.6,verspätet
313,78,10,Empf 313,2025-03-09 08:40:00,2025-03-09 09:20:00,40,74.9,unterwegs
314,78,10,Empf 314,2025-03-09 09:10:00,2025-03-09 09:28:00,18,281.8,zugestellt
315,78,10,Empf 315,2025-03-09 10:10:00,2025-03-09 11:40:00,90,143.0,unterwegs
316,78,10,Empf 316,2025-03-09 11:20:00,2025-03-09 11:25:00,5,365.1,zugestellt
317,78,10,Empf 317,2025-03-09 12:00:00,2025-03-09 12:05:00,5,220.0,zugestellt
318,79,10,Empf 318,2025-02-07 08:40:00,2025-02-07 08:58:00,18,387.2,zugestellt
319,79,10,Empf 319,2025-02-07 09:00:00,2025-02-07 09:18:00,18,385.5,zugestellt
320,79,10,Empf 320,2025-02-07 10:10:00,2025-02-07 11:40:00,90,319.5,verspätet
321,80,9,Empf 321,2025-03-02 08:00:00,2025-03-02 07:45:00,-15,481.3,zugestellt
322,80,9,Empf 322,2025-03-02 09:10:00,2025-03-02 09:28:00,18,201.5,zugestellt
323,80,9,Empf 323,2025-03-02 10:20:00,2025-03-02 10:25:00,5,451.2,zugestellt
324,80,9,Empf 324,2025-03-02 11:20:00,2025-03-02 11:20:00,0,418.6,zugestellt
325,81,3,Empf 325,2025-03-15 08:10:00,2025-03-15 08:10:00,0,422.3,zugestellt
326,81,3,Empf 326,2025-03-15 09:20:00,2025-03-15 09:05:00,-15,499.4,zugestellt
327,82,4,Empf 327,2025-04-13 08:00:00,2025-04-13 08:18:00,18,337.8,zugestellt
328,82,4,Empf 328,2025-04-13 09:00:00,2025-04-13 08:45:00,-15,38.6,zugestellt
329,82,4,Empf 329,2025-04-13 10:00:00,2025-04-13 09:45:00,-15,284.7,zugestellt
330,82,4,Empf 330,2025-04-13 11:10:00,2025-04-13 11:10:00,0,269.4,zugestellt
331,83,6,Empf 331,2025-02-08 08:20:00,2025-02-08 09:00:00,40,259.6,fehl
332,83,6,Empf 332,2025-02-08 09:20:00,2025-02-08 10:50:00,90,43.0,fehl
333,83,6,Empf 333,2025-02-08 10:00:00,2025-02-08 11:30:00,90,373.6,unterwegs
334,83,6,Empf 334,2025-02-08 11:20:00,2025-02-08 11:05:00,-15,201.4,zugestellt
335,83,6,Empf 335,2025-02-08 12:00:00,2025-02-08 12:00:00,0,402.0,zugestellt
336,83,6,Empf 336,2025-02-08 13:00:00,2025-02-08 14:30:00,90,59.5,verspätet
337,84,6,Empf 337,2025-04-22 08:00:00,2025-04-22 08:00:00,0,359.8,zugestellt
338,84,6,Empf 338,2025-04-22 09:20:00,2025-04-22 09:25:00,5,81.3,zugestellt
339,84,6,Empf 339,2025-04-22 10:40:00,,,306.7,unterwegs
340,84,6,Empf 340,2025-04-22 11:10:00,2025-04-22 11:50:00,40,379.8,fehl
341,84,6,Empf 341,2025-04-22 12:40:00,2025-04-22 12:58:00,18,467.3,zugestellt
342,84,6,Empf 342,2025-04-22 13:20:00,2025-04-22 14:50:00,90,323.2,unterwegs
343,85,2,Empf 343,2025-02-17 08:40:00,2025-02-17 08:40:00,0,437.6,zugestellt
344,85,2,Empf 344,2025-02-17 09:40:00,2025-02-17 09:58:00,18,260.0,zugestellt
345,85,2,Empf 345,2025-02-17 10:40:00,2025-02-17 10:25:00,-15,438.7,zugestellt
346,86,9,Empf 346,2025-01-22 08:00:00,2025-01-22 09:30:00,90,104.9,verspätet
347,86,9,Empf 347,2025-01-22 09:00:00,,,442.2,fehl
348,86,9,Empf 348,2025-01-22 10:00:00,2025-01-22 09:45:00,-15,449.6,zugestellt
349,86,9,Empf 349,2025-01-22 11:20:00,,,225.3,unterwegs
350,86,9,Empf 350,2025-01-22 12:10:00,2025-01-22 13:40:00,90,313.3,unterwegs
351,87,7,Empf 351,2025-03-10 08:40:00,2025-03-10 08:40:00,0,93.1,zugestellt
352,87,7,Empf 352,2025-03-10 09:20:00,2025-03-10 09:38:00,18,480.8,zugestellt
353,87,7,Empf 353,2025-03-10 10:00:00,,,122.6,verspätet
354,87,7,Empf 354,2025-03-10 11:00:00,2025-03-10 11:40:00,40,473.0,fehl
355,88,5,Empf 355,2025-01-21 08:10:00,2025-01-21 08:50:00,40,237.6,verspätet
356,88,5,Empf 356,2025-01-21 09:10:00,2025-01-21 08:55:00,-15,321.6,zugestellt
357,88,5,Empf 357,2025-01-21 10:40:00,2025-01-21 12:10:00,90,210.2,unterwegs
358,88,5,Empf 358,2025-01-21 11:00:00,2025-01-21 12:30:00,90,27.6,fehl
359,88,5,Empf 359,2025-01-21 12:40:00,2025-01-21 13:20:00,40,363.5,verspätet
360,88,5,Empf 360,2025-01-21 13:10:00,2025-01-21 13:15:00,5,28.5,zugestellt
361,89,1,Empf 361,2025-02-21 08:20:00,2025-02-21 08:05:00,-15,296.0,zugestellt
362,89,1,Empf 362,2025-02-21 09:00:00,2025-02-21 09:00:00,0,183.9,zugestellt
363,89,1,Empf 363,2025-02-21 10:00:00,,,305.3,fehl
364,89,1,Empf 364,2025-02-21 11:00:00,2025-02-21 11:05:00,5,167.5,zugestellt
365,89,1,Empf 365,2025-02-21 12:00:00,2025-02-21 11:45:00,-15,129.3,zugestellt
366,90,6,Empf 366,2025-04-14 08:10:00,2025-04-14 08:10:00,0,210.3,zugestellt
367,90,6,Empf 367,2025-04-14 09:00:00,2025-04-14 09:05:00,5,265.3,zugestellt
368,90,6,Empf 368,2025-04-14 10:40:00,2025-04-14 12:10:00,90,281.1,unterwegs
369,90,6,Empf 369,2025-04-14 11:00:00,2025-04-14 10:45:00,-15,401.1,zugestellt
370,90,6,Empf 370,2025-04-14 12:40:00,2025-04-14 12:45:00,5,164.7,zugestellt
371,91,9,Empf 371,2025-03-23 08:00:00,2025-03-23 07:45:00,-15,221.9,zugestellt
372,91,9,Empf 372,2025-03-23 09:20:00,2025-03-23 09:25:00,5,410.0,zugestellt
373,92,7,Empf 373,2025-01-24 08:20:00,2025-01-24 09:50:00,90,23.0,verspätet
374,92,7,Empf 374,2025-01-24 09:40:00,2025-01-24 09:45:00,5,52.8,zugestellt
375,92,7,Empf 375,2025-01-24 10:40:00,2025-01-24 10:40:00,0,376.0,zugestellt
376,92,7,Empf 376,2025-01-24 11:20:00,2025-01-24 11:25:00,5,186.8,zugestellt
377,93,6,Empf 377,2025-01-28 08:40:00,2025-01-28 09:20:00,40,10.7,verspätet
378,93,6,Empf 378,2025-01-28 09:00:00,2025-01-28 10:30:00,90,156.4,unterwegs
379,93,6,Empf 379,2025-01-28 10:10:00,2025-01-28 10:28:00,18,198.0,zugestellt
380,94,3,Empf 380,2025-05-08 08:00:00,2025-05-08 07:45:00,-15,275.7,zugestellt
381,94,3,Empf 381,2025-05-08 09:20:00,2025-05-08 10:00:00,40,182.4,unterwegs
382,94,3,Empf 382,2025-05-08 10:10:00,2025-05-08 10:50:00,40,186.8,unterwegs
383,94,3,Empf 383,2025-05-08 11:40:00,2025-05-08 11:58:00,18,210.0,zugestellt
384,94,3,Empf 384,2025-05-08 12:40:00,2025-05-08 13:20:00,40,397.7,verspätet
385,94,3,Empf 385,2025-05-08 13:10:00,2025-05-08 14:40:00,90,220.7,verspätet
386,95,4,Empf 386,2025-04-19 08:10:00,2025-04-19 08:50:00,40,265.5,fehl
387,95,4,Empf 387,2025-04-19 09:10:00,2025-04-19 09:28:00,18,280.0,zugestellt
388,96,3,Empf 388,2025-04-11 08:00:00,2025-04-11 07:45:00,-15,395.7,zugestellt
389,96,3,Empf 389,2025-04-11 09:20:00,2025-04-11 10:00:00,40,332.8,unterwegs
390,97,6,Empf 390,2025-03-25 08:20:00,2025-03-25 08:38:00,18,93.9,zugestellt
391,97,6,Empf 391,2025-03-25 09:20:00,2025-03-25 10:50:00,90,292.5,unterwegs
392,97,6,Empf 392,2025-03-25 10:00:00,2025-03-25 10:18:00,18,144.8,zugestellt
393,97,6,Empf 393,2025-03-25 11:00:00,2025-03-25 11:00:00,0,104.3,zugestellt
394,98,1,Empf 394,2025-03-30 08:20:00,2025-03-30 09:00:00,40,79.1,fehl
395,98,1,Empf 395,2025-03-30 09:10:00,2025-03-30 08:55:00,-15,143.3,zugestellt
396,98,1,Empf 396,2025-03-30 10:00:00,2025-03-30 11:30:00,90,350.1,fehl
397,98,1,Empf 397,2025-03-30 11:10:00,2025-03-30 11:10:00,0,442.3,zugestellt
398,98,1,Empf 398,2025-03-30 12:00:00,2025-03-30 12:00:00,0,86.8,zugestellt
399,98,1,Empf 399,2025-03-30 13:10:00,2025-03-30 13:10:00,0,137.2,zugestellt
400,99,5,Empf 400,2025-03-05 08:00:00,2025-03-05 08:18:00,18,219.2,zugestellt
401,99,5,Empf 401,2025-03-05 09:40:00,2025-03-05 09:40:00,0,89.4,zugestellt
402,99,5,Empf 402,2025-03-05 10:00:00,2025-03-05 10:05:00,5,483.6,zugestellt
403,99,5,Empf 403,2025-03-05 11:20:00,2025-03-05 11:25:00,5,229.9,zugestellt
404,100,2,Empf 404,2025-05-08 08:20:00,2025-05-08 08:20:00,0,299.7,zugestellt
405,100,2,Empf 405,2025-05-08 09:40:00,2025-05-08 10:20:00,40,190.1,fehl
406,100,2,Empf 406,2025-05-08 10:00:00,2025-05-08 10:05:00,5,156.7,zugestellt
407,100,2,Empf 407,2025-05-08 11:20:00,2025-05-08 11:05:00,-15,65.8,zugestellt
408,101,7,Empf 408,2025-01-18 08:20:00,2025-01-18 08:20:00,0,233.2,zugestellt
409,101,7,Empf 409,2025-01-18 09:00:00,2025-01-18 09:05:00,5,421.7,zugestellt
410,101,7,Empf 410,2025-01-18 10:00:00,2025-01-18 10:05:00,5,23.2,zugestellt
411,102,4,Empf 411,2025-01-29 08:20:00,2025-01-29 08:38:00,18,442.5,zugestellt
412,102,4,Empf 412,2025-01-29 09:10:00,2025-01-29 09:28:00,18,191.9,zugestellt
413,102,4,Empf 413,2025-01-29 10:00:00,2025-01-29 11:30:00,90,18.2,verspätet
414,103,6,Empf 414,2025-03-23 08:00:00,2025-03-23 08:00:00,0,112.0,zugestellt
415,103,6,Empf 415,2025-03-23 09:40:00,2025-03-23 10:20:00,40,306.0,unterwegs
416,104,1,Empf 416,2025-03-16 08:20:00,2025-03-16 08:20:00,0,388.0,zugestellt
417,104,1,Empf 417,2025-03-16 09:10:00,2025-03-16 10:40:00,90,313.5,verspätet
418,104,1,Empf 418,2025-03-16 10:10:00,2025-03-16 10:28:00,18,445.2,zugestellt
419,104,1,Empf 419,2025-03-16 11:40:00,2025-03-16 11:25:00,-15,74.6,zugestellt
420,104,1,Empf 420,2025-03-16 12:40:00,2025-03-16 12:58:00,18,230.9,zugestellt
421,104,1,Empf 421,2025-03-16 13:10:00,2025-03-16 13:15:00,5,49.9,zugestellt
422,105,2,Empf 422,2025-01-31 08:00:00,2025-01-31 09:30:00,90,307.8,unterwegs
423,105,2,Empf 423,2025-01-31 09:40:00,2025-01-31 09:45:00,5,426.1,zugestellt
424,105,2,Empf 424,2025-01-31 10:00:00,2025-01-31 11:30:00,90,89.2,verspätet
425,105,2,Empf 425,2025-01-31 11:00:00,2025-01-31 12:30:00,90,493.2,fehl
426,105,2,Empf 426,2025-01-31 12:20:00,2025-01-31 13:00:00,40,133.6,unterwegs
427,106,7,Empf 427,2025-01-25 08:10:00,2025-01-25 08:10:00,0,354.4,zugestellt
428,106,7,Empf 428,2025-01-25 09:00:00,2025-01-25 09:18:00,18,46.9,zugestellt
429,106,7,Empf 429,2025-01-25 10:40:00,2025-01-25 10:25:00,-15,449.6,zugestellt
430,106,7,Empf 430,2025-01-25 11:00:00,2025-01-25 11:05:00,5,97.7,zugestellt
431,106,7,Empf 431,2025-01-25 12:10:00,2025-01-25 13:40:00,90,243.5,fehl
432,107,8,Empf 432,2025-02-28 08:40:00,,,441.7,fehl
433,107,8,Empf 433,2025-02-28 09:00:00,2025-02-28 09:40:00,40,250.1,verspätet
434,107,8,Empf 434,2025-02-28 10:00:00,2025-02-28 10:18:00,18,257.8,zugestellt
435,107,8,Empf 435,2025-02-28 11:10:00,2025-02-28 11:28:00,18,65.4,zugestellt
436,108,7,Empf 436,2025-01-18 08:20:00,2025-01-18 08:38:00,18,359.5,zugestellt
437,108,7,Empf 437,2025-01-18 09:20:00,2025-01-18 10:00:00,40,403.6,verspätet
438,108,7,Empf 438,2025-01-18 10:00:00,2025-01-18 10:05:00,5,54.7,zugestellt
439,108,7,Empf 439,2025-01-18 11:40:00,2025-01-18 11:40:00,0,39.5,zugestellt
440,109,3,Empf 440,2025-02-27 08:10:00,2025-02-27 07:55:00,-15,193.1,zugestellt
441,109,3,Empf 441,2025-02-27 09:00:00,2025-02-27 08:45:00,-15,406.6,zugestellt
442,109,3,Empf 442,2025-02-27 10:40:00,2025-02-27 10:25:00,-15,333.1,zugestellt
443,109,3,Empf 443,2025-02-27 11:40:00,2025-02-27 11:40:00,0,330.0,zugestellt
444,110,7,Empf 444,2025-04-04 08:20:00,2025-04-04 09:50:00,90,339.0,fehl
445,110,7,Empf 445,2025-04-04 09:10:00,2025-04-04 09:15:00,5,272.5,zugestellt
446,110,7,Empf 446,2025-04-04 10:40:00,2025-04-04 10:25:00,-15,471.3,zugestellt
447,110,7,Empf 447,2025-04-04 11:40:00,2025-04-04 11:45:00,5,40.5,zugestellt
448,110,7,Empf 448,2025-04-04 12:20:00,2025-04-04 13:00:00,40,90.4,unterwegs
449,111,10,Empf 449,2025-01-25 08:10:00,2025-01-25 08:15:00,5,443.3,zugestellt
450,111,10,Empf 450,2025-01-25 09:40:00,2025-01-25 11:10:00,90,332.1,verspätet
451,112,10,Empf 451,2025-04-12 08:20:00,2025-04-12 08:20:00,0,90.8,zugestellt
452,112,10,Empf 452,2025-04-12 09:10:00,2025-04-12 09:50:00,40,215.8,unterwegs
453,112,10,Empf 453,2025-04-12 10:10:00,2025-04-12 11:40:00,90,200.7,unterwegs
454,112,10,Empf 454,2025-04-12 11:20:00,2025-04-12 11:05:00,-15,460.3,zugestellt
455,113,2,Empf 455,2025-03-14 08:00:00,2025-03-14 08:18:00,18,8.1,zugestellt
456,113,2,Empf 456,2025-03-14 09:00:00,2025-03-14 09:00:00,0,374.5,zugestellt
457,113,2,Empf 457,2025-03-14 10:20:00,2025-03-14 11:50:00,90,319.9,verspätet
458,113,2,Empf 458,2025-03-14 11:20:00,2025-03-14 12:50:00,90,69.3,verspätet
459,114,9,Empf 459,2025-02-01 08:00:00,2025-02-01 08:05:00,5,229.1,zugestellt
460,114,9,Empf 460,2025-02-01 09:00:00,2025-02-01 10:30:00,90,354.5,verspätet
461,114,9,Empf 461,2025-02-01 10:40:00,2025-02-01 10:40:00,0,11.6,zugestellt
462,115,4,Empf 462,2025-03-02 08:40:00,2025-03-02 08:58:00,18,377.3,zugestellt
463,115,4,Empf 463,2025-03-02 09:10:00,,,382.8,fehl
464,115,4,Empf 464,2025-03-02 10:40:00,2025-03-02 10:40:00,0,70.0,zugestellt
465,116,1,Empf 465,2025-02-18 08:20:00,,,80.7,verspätet
466,116,1,Empf 466,2025-02-18 09:00:00,,,114.8,verspätet
467,116,1,Empf 467,2025-02-18 10:00:00,2025-02-18 11:30:00,90,461.9,unterwegs
468,116,1,Empf 468,2025-02-18 11:20:00,2025-02-18 11:05:00,-15,344.7,zugestellt
469,117,4,Empf 469,2025-02-13 08:00:00,,,60.8,unterwegs
470,117,4,Empf 470,2025-02-13 09:00:00,2025-02-13 08:45:00,-15,112.2,zugestellt
471,117,4,Empf 471,2025-02-13 10:10:00,2025-02-13 10:28:00,18,454.1,zugestellt
472,117,4,Empf 472,2025-02-13 11:10:00,2025-02-13 11:15:00,5,30.6,zugestellt
473,117,4,Empf 473,2025-02-13 12:40:00,2025-02-13 12:58:00,18,260.6,zugestellt
474,117,4,Empf 474,2025-02-13 13:40:00,2025-02-13 13:40:00,0,395.3,zugestellt
475,118,6,Empf 475,2025-04-29 08:20:00,2025-04-29 08:25:00,5,401.2,zugestellt
476,118,6,Empf 476,2025-04-29 09:00:00,2025-04-29 10:30:00,90,306.7,unterwegs
477,119,9,Empf 477,2025-04-14 08:40:00,2025-04-14 08:45:00,5,106.0,zugestellt
478,119,9,Empf 478,2025-04-14 09:40:00,2025-04-14 10:20:00,40,138.9,unterwegs
479,119,9,Empf 479,2025-04-14 10:00:00,2025-04-14 10:05:00,5,11.2,zugestellt
480,119,9,Empf 480,2025-04-14 11:10:00,,,120.5,verspätet
481,119,9,Empf 481,2025-04-14 12:20:00,2025-04-14 13:00:00,40,355.1,unterwegs
482,120,7,Empf 482,2025-05-05 08:00:00,2025-05-05 09:30:00,90,449.0,verspätet
483,120,7,Empf 483,2025-05-05 09:10:00,2025-05-05 09:15:00,5,179.5,zugestellt
484,120,7,Empf 484,2025-05-05 10:10:00,2025-05-05 11:40:00,90,292.9,verspätet
485,120,7,Empf 485,2025-05-05 11:40:00,2025-05-05 13:10:00,90,363.3,unterwegs
486,121,7,Empf 486,2025-03-10 08:00:00,2025-03-10 08:00:00,0,42.4,zugestellt
487,121,7,Empf 487,2025-03-10 09:00:00,2025-03-10 08:45:00,-15,134.7,zugestellt
488,122,9,Empf 488,2025-03-18 08:00:00,2025-03-18 09:30:00,90,105.5,fehl
489,122,9,Empf 489,2025-03-18 09:20:00,2025-03-18 10:00:00,40,420.4,fehl
490,122,9,Empf 490,2025-03-18 10:00:00,2025-03-18 10:00:00,0,141.9,zugestellt
491,122,9,Empf 491,2025-03-18 11:10:00,2025-03-18 10:55:00,-15,367.7,zugestellt
492,122,9,Empf 492,2025-03-18 12:10:00,2025-03-18 12:15:00,5,249.9,zugestellt
493,123,8,Empf 493,2025-04-20 08:00:00,2025-04-20 07:45:00,-15,86.1,zugestellt
494,123,8,Empf 494,2025-04-20 09:00:00,2025-04-20 09:18:00,18,166.5,zugestellt
495,123,8,Empf 495,2025-04-20 10:40:00,2025-04-20 11:20:00,40,206.9,unterwegs
496,123,8,Empf 496,2025-04-20 11:00:00,2025-04-20 10:45:00,-15,67.3,zugestellt
497,124,8,Empf 497,2025-01-19 08:00:00,2025-01-19 08:05:00,5,215.1,zugestellt
498,124,8,Empf 498,2025-01-19 09:10:00,2025-01-19 09:50:00,40,338.5,verspätet
499,124,8,Empf 499,2025-01-19 10:20:00,2025-01-19 10:38:00,18,465.3,zugestellt
500,125,4,Empf 500,2025-02-26 08:00:00,2025-02-26 08:40:00,40,312.1,fehl
501,125,4,Empf 501,2025-02-26 09:40:00,2025-02-26 09:58:00,18,311.4,zugestellt
502,125,4,Empf 502,2025-02-26 10:10:00,2025-02-26 09:55:00,-15,465.6,zugestellt
503,125,4,Empf 503,2025-02-26 11:10:00,2025-02-26 12:40:00,90,42.2,verspätet
504,125,4,Empf 504,2025-02-26 12:00:00,2025-02-26 12:05:00,5,211.0,zugestellt
505,125,4,Empf 505,2025-02-26 13:10:00,2025-02-26 13:10:00,0,469.8,zugestellt
506,126,4,Empf 506,2025-01-12 08:40:00,,,175.6,unterwegs
507,126,4,Empf 507,2025-01-12 09:00:00,,,373.9,fehl
508,126,4,Empf 508,2025-01-12 10:00:00,,,423.0,fehl
509,127,4,Empf 509,2025-02-15 08:20:00,,,186.5,unterwegs
510,127,4,Empf 510,2025-02-15 09:00:00,2025-02-15 09:40:00,40,330.3,unterwegs
511,127,4,Empf 511,2025-02-15 10:20:00,2025-02-15 10:25:00,5,246.6,zugestellt
512,127,4,Empf 512,2025-02-15 11:00:00,2025-02-15 11:40:00,40,80.4,unterwegs
513,128,8,Empf 513,2025-03-13 08:40:00,2025-03-13 08:58:00,18,269.2,zugestellt
514,128,8,Empf 514,2025-03-13 09:40:00,2025-03-13 09:25:00,-15,366.8,zugestellt
515,128,8,Empf 515,2025-03-13 10:00:00,2025-03-13 10:05:00,5,350.0,zugestellt
516,128,8,Empf 516,2025-03-13 11:00:00,2025-03-13 10:45:00,-15,282.4,zugestellt
517,128,8,Empf 517,2025-03-13 12:10:00,2025-03-13 12:50:00,40,208.1,fehl
518,129,8,Empf 518,2025-01-17 08:00:00,2025-01-17 08:00:00,0,223.8,zugestellt
519,129,8,Empf 519,2025-01-17 09:00:00,2025-01-17 10:30:00,90,463.0,verspätet
520,130,2,Empf 520,2025-04-02 08:10:00,2025-04-02 08:15:00,5,330.1,zugestellt
521,130,2,Empf 521,2025-04-02 09:40:00,2025-04-02 09:25:00,-15,122.2,zugestellt
522,130,2,Empf 522,2025-04-02 10:10:00,2025-04-02 11:40:00,90,332.3,fehl
523,130,2,Empf 523,2025-04-02 11:10:00,2025-04-02 12:40:00,90,219.5,verspätet
524,130,2,Empf 524,2025-04-02 12:10:00,2025-04-02 13:40:00,90,212.6,fehl
525,130,2,Empf 525,2025-04-02 13:00:00,2025-04-02 13:05:00,5,21.5,zugestellt
526,131,5,Empf 526,2025-01-14 08:10:00,2025-01-14 08:15:00,5,76.4,zugestellt
527,131,5,Empf 527,2025-01-14 09:20:00,2025-01-14 09:38:00,18,294.1,zugestellt
528,131,5,Empf 528,2025-01-14 10:00:00,2025-01-14 11:30:00,90,77.4,fehl
529,132,6,Empf 529,2025-04-13 08:20:00,2025-04-13 08:05:00,-15,319.7,zugestellt
530,132,6,Empf 530,2025-04-13 09:20:00,2025-04-13 10:00:00,40,446.6,unterwegs
531,132,6,Empf 531,2025-04-13 10:00:00,2025-04-13 10:05:00,5,379.4,zugestellt
532,132,6,Empf 532,2025-04-13 11:20:00,2025-04-13 12:50:00,90,129.8,unterwegs
533,132,6,Empf 533,2025-04-13 12:40:00,2025-04-13 12:25:00,-15,234.8,zugestellt
534,132,6,Empf 534,2025-04-13 13:00:00,2025-04-13 13:18:00,18,395.9,zugestellt
535,133,9,Empf 535,2025-03-02 08:40:00,2025-03-02 08:58:00,18,413.5,zugestellt
536,133,9,Empf 536,2025-03-02 09:10:00,2025-03-02 09:28:00,18,21.9,zugestellt
537,133,9,Empf 537,2025-03-02 10:40:00,2025-03-02 10:25:00,-15,90.6,zugestellt
538,133,9,Empf 538,2025-03-02 11:10:00,2025-03-02 11:50:00,40,154.1,verspätet
539,133,9,Empf 539,2025-03-02 12:10:00,2025-03-02 12:15:00,5,258.6,zugestellt
540,133,9,Empf 540,2025-03-02 13:00:00,2025-03-02 13:40:00,40,415.9,verspätet
541,134,5,Empf 541,2025-03-10 08:20:00,2025-03-10 08:25:00,5,24.2,zugestellt
542,134,5,Empf 542,2025-03-10 09:10:00,2025-03-10 10:40:00,90,164.6,unterwegs
543,134,5,Empf 543,2025-03-10 10:10:00,2025-03-10 11:40:00,90,378.0,unterwegs
544,134,5,Empf 544,2025-03-10 11:10:00,2025-03-10 12:40:00,90,125.6,unterwegs
545,135,6,Empf 545,2025-02-28 08:40:00,2025-02-28 08:58:00,18,407.3,zugestellt
546,135,6,Empf 546,2025-02-28 09:20:00,,,382.4,unterwegs
547,135,6,Empf 547,2025-02-28 10:00:00,2025-02-28 09:45:00,-15,314.8,zugestellt
548,136,1,Empf 548,2025-01-15 08:00:00,2025-01-15 08:40:00,40,481.0,verspätet
549,136,1,Empf 549,2025-01-15 09:10:00,2025-01-15 09:50:00,40,364.2,verspätet
550,136,1,Empf 550,2025-01-15 10:10:00,2025-01-15 10:28:00,18,317.2,zugestellt
551,136,1,Empf 551,2025-01-15 11:10:00,2025-01-15 11:10:00,0,278.9,zugestellt
552,136,1,Empf 552,2025-01-15 12:00:00,2025-01-15 12:18:00,18,446.5,zugestellt
553,137,7,Empf 553,2025-04-14 08:40:00,2025-04-14 08:45:00,5,417.5,zugestellt
554,137,7,Empf 554,2025-04-14 09:40:00,2025-04-14 09:25:00,-15,213.7,zugestellt
555,137,7,Empf 555,2025-04-14 10:00:00,2025-04-14 09:45:00,-15,311.9,zugestellt
556,137,7,Empf 556,2025-04-14 11:00:00,2025-04-14 10:45:00,-15,454.2,zugestellt
557,137,7,Empf 557,2025-04-14 12:00:00,2025-04-14 13:30:00,90,218.7,unterwegs
558,138,2,Empf 558,2025-04-17 08:00:00,2025-04-17 08:40:00,40,85.2,unterwegs
559,138,2,Empf 559,2025-04-17 09:10:00,2025-04-17 09:50:00,40,360.9,unterwegs
560,139,10,Empf 560,2025-04-02 08:00:00,2025-04-02 08:18:00,18,189.5,zugestellt
561,139,10,Empf 561,2025-04-02 09:00:00,2025-04-02 08:45:00,-15,409.1,zugestellt
562,139,10,Empf 562,2025-04-02 10:10:00,2025-04-02 10:10:00,0,388.6,zugestellt
563,139,10,Empf 563,2025-04-02 11:10:00,2025-04-02 11:15:00,5,292.5,zugestellt
564,140,2,Empf 564,2025-05-05 08:10:00,2025-05-05 07:55:00,-15,63.5,zugestellt
565,140,2,Empf 565,2025-05-05 09:40:00,2025-05-05 10:20:00,40,48.1,unterwegs
566,140,2,Empf 566,2025-05-05 10:00:00,2025-05-05 11:30:00,90,106.3,fehl
567,140,2,Empf 567,2025-05-05 11:20:00,2025-05-05 11:25:00,5,306.5,zugestellt
568,141,1,Empf 568,2025-04-24 08:20:00,2025-04-24 08:05:00,-15,138.4,zugestellt
569,141,1,Empf 569,2025-04-24 09:40:00,2025-04-24 09:58:00,18,112.8,zugestellt
570,142,6,Empf 570,2025-03-10 08:20:00,2025-03-10 09:50:00,90,278.9,verspätet
571,142,6,Empf 571,2025-03-10 09:10:00,2025-03-10 09:28:00,18,162.0,zugestellt
572,143,9,Empf 572,2025-04-14 08:00:00,2025-04-14 08:40:00,40,11.1,verspätet
